DATE,STAR,LIKE,REVIEW
20210327,별표 5개 만점에 1개를 받았습니다.,6,사장들이 고객리뷰를 신경쓰듯이 쿠팡이츠 스토어측도 여기 업주들 리뷰를 제발 좀 참고해서 개선하세요...! 고객정보 보호 좋지요. 그런데 업주 보호는 하나도 안됩니다. 댓글도 못달고 악의성이 보여도 조치도 못해요. 신고기능이 있으면 뭐하나요? 신고해도 제대로 구분도 못하던데요? 사장댓글 다는게 소비자 보호 안되는거랑 무슨 상관이죠? 업주들은 억울해도 된다는 건가요? 오해가 있어 사정을 전달하고 싶어도 댓글을 못다니 고객은 오해한채로 떠납니다. 최소한 해당 고객이 평소에도 악의적인 리뷰를 쓰는 사람인지는 업주들도 알아야 하지 않나요? 최소한 배민처럼 이사람의 댓글기록을 볼 수 있게라도 해놔야죠. 전에 전화해보니 민원같은 게 있어도 처리하는 부서도 없더군요. 여기업주들이 다 1점을 주는 이유를 쫌...!!!!생각하고 개선 좀 하세요. 배민 이기고 싶은 거 아닌가요? 고객보호랑 고객혜택만 있으면 이길 수 있을까요? 무작정 현체제를 유지하는게 아니라 부족한 건 채우세요. 좀!
20210610,별표 5개 만점에 1개를 받았습니다.,1,배민 참고좀 하세요 에휴 너무 부족해요
20210401,별표 5개 만점에 1개를 받았습니다.,3,아니 장사해야되는데 갑자기업뎃하라고하면 어떡하냐 몇초만에 수락못누르면 점수떨구면서
20210331,별표 5개 만점에 1개를 받았습니다.,3,"쿠팡이츠 2달째 사용중인 사장입니다. 광고로는 소비자한테 ""쿠팡이츠는 고객한테 바로가니까 맛과 따뜻함이 그대로"" ""어떻게 배달순서가 랜덤이냐""광고하는데 바로만가면 뭐합니까 배달기사 잡힐 시간도 랜덤인데 조리시간 맞춰서조리 다해도 기사가 안잡혀서 대기만하다가 20 분넘게 걸려서 다 식는데 그래서 전화하면 그러면 혹시 다시 조리하시겠습니까? 이러시는데 그러면 시간은 자꾸지연되고 그러다보면 늦게 배달되면 그 리스크를 가맹점 사장이 떠안는게 말이되나요? 배달대행기사도 호출시간 요청시간 에서 +-10대로 해결이 됩니다. 주소도몰라서 사장은 손만 빨고있어야한다니 사장이 배달기사 등록해서 위치보고 배달가게생겼어요"
20210706,별표 5개 만점에 1개를 받았습니다.,3,사장들 죽이는앱 ㅋㅋㅋㅋ 수수료는 엄청떼가는데 사장들은 진짜 지나가는 똥개만도 취급안해줌 ㅋㅋㅋ
20210610,별표 5개 만점에 1개를 받았습니다.,4,(20201220)와.. 관리 진짜 안한다. 여기 댓글 달아봐야 쿠팡에서는 처다도 않보는구나. 리뷰에 댓글이 하나도 안보이네. 개무시 당하는 기분이네 (20210610)작년12월에 요청한 AS는 아직도 깜깜 무소식.
20210603,별표 5개 만점에 1개를 받았습니다.,1,조리완료.수문수락.별점등 그렇다치자. 빨리만들어야 그린등급? 100인분이 들어와도 패스트푸드도 아닌 메뉴들도?
20210421,별표 5개 만점에 1개를 받았습니다.,2,정말 쿠팡 시스템 별하나도 아깝네요.
20210612,별표 5개 만점에 1개를 받았습니다.,1,배민매출이높다면 쓰지마세요 진심 속터져요
20210517,별표 5개 만점에 4개를 받았습니다.,1,메뉴사진과 새메뉴도 내가 올릴수 있음 좋겠습니
